ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
122	25	1	1	0.000000	118.720000	118.720000	0.000000	0.000000	0	72	0
123	5	2	1	0.000000	281.000000	279.000000	0.000000	0.000000	0	149	0
124	47	1	1	0.000000	158.851064	157.340426	0.000000	0.000000	0	107	0
125	18	2	2	0.000000	695.888889	466.000000	0.000000	0.000000	0	381	0
126	32	2	1	0.000000	571.031250	258.312500	0.000000	0.000000	0	358	0
127	25	1	1	0.000000	163.920000	158.920000	0.000000	0.000000	0	96	0
128	36	1	2	0.000000	200.833333	200.166667	0.000000	0.000000	0	196	0
129	6	2	1	0.000000	308.166667	298.166667	0.000000	0.000000	0	163	0
130	20	1	1	0.000000	150.600000	30.350000	0.000000	0.000000	0	87	0
131	5	1	2	0.000000	427.800000	425.000000	0.000000	0.000000	0	220	0
132	6	1	2	0.000000	574.000000	572.000000	0.000000	0.000000	0	302	0
133	35	1	1	0.000000	131.200000	130.142857	0.000000	0.000000	0	85	0
134	11	2	1	0.000000	536.363636	531.090909	0.000000	0.000000	0	304	0
135	7	2	1	0.000000	407.571429	404.000000	0.000000	0.000000	0	211	0
136	43	1	1	0.000000	281.279070	275.209302	0.000000	0.000000	0	193	0
137	1	1	2	0.000000	670.000000	278.000000	0.000000	0.000000	0	337	0
138	20	1	1	0.000000	122.750000	121.950000	0.000000	0.000000	0	81	0
139	11	1	2	0.000000	228.454545	225.000000	0.000000	0.000000	0	141	0
140	1	1	2	0.000000	332.000000	326.000000	0.000000	0.000000	0	182	0
141	4	2	0	0.000000	335.000000	332.750000	0.000000	0.000000	0	165	0
142	47	1	1	0.000000	162.638298	161.361702	0.000000	0.000000	0	105	0
